20CR | 20th Century Reanalysis
OH | NOAA Office of Hydrology
OI | Optimal Interpolation
OLENS | Observational Large Ensemble
OLR | Outgoing Longwave Radiation
OPI | OLR Precipitation Index
OSSE | Observing System Simulation Experiment
OVWST | Ocean Vector Winds Science Team
PACRAIN | Pacific Rainfall Database
PATMOS | Pathfinder Atmospheres
PATMOS-x | Pathfinder Atmospheres Extended
PERSIANN | Precipitation Estimation from Remotely Sensed Information using Artificial Neural Networks
PHC | Polar Science Center Hydrographic Climatology
PhD | Doctor of Philosophy
PO.DAAC | Physical Oceanography Distributed Active Archive Center
PREPBUFR | BUFR format specifically for observations assimilated into NCEP forecast models
PROFS | Program for Regional Observing and Forecasting Services
PWRF | Polar Weather Research and Forecasting Model
QC | Quality Control
QSCAT | QuikSCAT
QuikSCAT | Quick Scatterometer
RaDAPS | Rapid Deployable Atmospheric Profiling System
RAP | NCEP Rapid Refresh Model
RCM | Regional Climate Model
RCP | Representative Concentration Pathway
RDA | Research Data Archive
RIHMI | All-Russia Resarch Institute of Hydrometeorological Information
RIVDIS | Global River Discharge
ROI | Region of Influence
RSHI | Russian State Hydrological Institute
RSS | Remote Sensing Systems
RTFDDA | NCAR's Real Time Four Dimensional Data Assimilation
RTMA | NCEP Real-Time Mesoscale Analysis
RUC | Rapid Update Cycle
RVSMDC | Research Vessel Surface Meteorology Data Center
SAMS | Stratospheric and Mesospheric Sounder
SAT | Surface Air Temperature
SATWND | Satellite-derived winds
SCAR | Scientific Committee on Antarctic Research
SCR | Selective Chopper Radiometer
SEASAT | Seafaring Satellite
SiB | Simple Biosphere
SIRS | Satellite Infrared Spectrometer
SLP | Sea Level Pressure
SMS-1 | Synchronous Meteorological Satellite-1
SNOTEL | Snow Telemetry
SOC | Southampton Oceanography Centre
SODA | Simple Ocean Data Assimilation
SODAsi | Simple Ocean Data Assimilation sparse input
SODAsi.1 | Simple Ocean Data Assimilation sparse input version 1
SODAsi.2 | Simple Ocean Data Assimilation sparse input version 2
SODAsi.3 | Simple Ocean Data Assimilation sparse input version 3
SOI | Southern Oscillation Index
SOLMET | Solar Meteorological
SPECMAP | Spectral Mapping Project
SPI | Standardized Precipitation Index
SRES | Special Report on Emissions Scenarios
SSI | Spectral Statistical Interpolation
SSM/I | Special Sensor Microwave/Imager
SSP | Shared Socioeconomic Pathways
SST | Sea Surface Temperature
STORM-FEST | Storm Fronts Experiment Systems Test
SYNOP | Surface synoptic observations
TBO | Tropical Biennial Oscillation
TDL | NMC Techniques Development Laboratory
THIR | Temperature Humidity Infrared Radiometer
THORPEX | The Observing System Research and Predictability Experiment
TIGGE | THORPEX Interactive Grand Global Ensemble
TIROS | Television Infrared Observation Satellite
TIROS-N | Television Infrared Observation Satellite - Next generation
Tmax | Maximum Temperature
TMI | TRMM Microwave Imager
Tmin | Minimum Temperature
TMY | Typical Meteorological Year
TOGA | Tropical Ocean Global Atmosphere
TOMS | Total Ozone Mapping Spectrometer
TOVS | TIROS Operational Vertical Sounder
TRMM | Tropical Rainfall Measuring Mission
TVA | Tennessee Valley Authority
UADB | Upper Air Database
UCAR | University Corporation for Atmospheric Research
UCP | UCAR Community Programs
UNEP | United National Environment Programme
UNESCO | United Nations Educational, Scientific and Cultural Organization
USA | United States of America
USAF | United States Air Force
USAID | U.S. Agency for International Development
USFS | United States Forest Service
USGS | United States Geological Survey
USSR | Union of Soviet Socialist Republics
UTC | Coordinated Universal Time
VarBC | Variational Bias Correction
VBS | Volatility Basis Set
VOSClim | Voluntary Observing Ship Climate Fleet
VTPR | Vertical Temperature Profile Radiometer
WASWind | Wave and Anemometer-based Sea Surface Wind
WBAN | Weather Bureau Army Navy
WCRP | World Climate Research Programme
WHOI | Woods Hole Oceanographic Institution
WMO | World Meteorological Organization
WMONEX | Winter Monsoon Experiment
WOA | World Ocean Atlas
WOCE | World Ocean Circulation Experiment
WOD | World Ocean Database
WRF | Weather Research and Forecasting Model
WRF-Chem | Weather Research and Forecasting coupled with Chemistry
WRF-Var | WRF Variational Data Assimilation
WSR | Weather Surveillance Radar
WSR-88D | Weather Surveillance Radar-1988 Doppler
WWRP | World Weather Research Programme
XBT | Expendable Bathythermograph
YOTC | Year of Tropical Convection
ZPD | Zenith Path Delay
iCESM1.2 | NCAR isotope-enabled Community Earth System Model version 1.2
